X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,0.0017470881774596409,87.09712004092303,0.9654608373914075
3.0,3.0,train,3.363864104874394E-4,31.337745399397104,0.4769239478595818
4.0,4.0,train,5.113652150452574E-4,44.811810197476746,0.6266035924759024
5.0,5.0,train,9.268573426724142E-4,66.22731882726534,0.8322927766081711
6.0,6.0,train,4.1998837084215076E-4,38.53232595474388,0.5547336399527285
7.0,7.0,train,8.357747690617548E-4,63.513725542228876,0.8001264530501249
8.0,8.0,train,3.5253868322680933E-4,32.87993801920745,0.492949564960228
9.0,9.0,train,7.576249706405731E-5,5.80279795403521,0.13580076782268302
10.0,10.0,train,9.400919438184963E-4,66.66579369422425,0.8365145379378698
13.0,13.0,train,7.967871321970893E-4,61.954841012400536,0.7845363399155191
14.0,14.0,train,0.0012775556966056326,76.22855595320387,0.9146619674560071
15.0,15.0,train,0.001335955385097898,78.61046620877457,0.9237424293999127
16.0,16.0,train,4.919279484668604E-4,43.54707671886083,0.6123567926250398
17.0,17.0,train,1.0206938502096636E-4,9.099567850070038,0.1785059618311582
18.0,18.0,train,9.308621401546237E-4,66.32658446504446,0.8335816602648132
19.0,19.0,train,1.4734609514706646E-4,14.213748381614225,0.24712305757727282
20.0,20.0,train,7.330503369664766E-4,58.057968133131695,0.7563878505116401
21.0,21.0,train,2.108057616753297E-4,20.658829380309164,0.33375963181703383
22.0,22.0,train,2.881646526962646E-4,27.157129834314723,0.4260035471174898
23.0,23.0,train,6.853840998363826E-4,55.50421775453393,0.7329586327800108
24.0,24.0,train,5.463352281246656E-4,47.23085395529636,0.6509298307474405
25.0,25.0,train,0.0012545679251686954,75.8030102151669,0.9107978807736721
26.0,26.0,train,5.943172340809277E-4,50.40466258796435,0.6817496046515665
27.0,27.0,train,0.0010124749659579174,69.5319229562794,0.8577931791537411
28.0,28.0,train,0.0019438027926244918,90.04296686020807,0.9763553984760159
29.0,29.0,train,6.898013413447507E-4,56.173851679506996,0.7352213942521212
31.0,31.0,train,0.0013478518354933767,79.1669027845432,0.9254702113532552
32.0,32.0,train,2.8906379441849214E-4,27.22463054780981,0.42699693049099263
33.0,33.0,train,0.0010571973727679428,70.96393716930295,0.869532073015563
34.0,34.0,train,0.0012268447153740093,75.15847364884208,0.9059043411613582
35.0,35.0,train,6.200037686239709E-4,52.31063957125828,0.6971144840914525
36.0,36.0,train,8.332784283281577E-4,63.4061969742222,0.7991629358378363
37.0,37.0,train,3.007589092270254E-4,28.401098724032238,0.4397623153259119
38.0,38.0,train,2.3628514229658405E-5,0.9133312026004676,0.044498482522363214
39.0,39.0,train,7.72328983336369E-4,60.548973587266545,0.7741413336429354
40.0,40.0,train,2.9536136011207444E-4,27.71936490324191,0.4339065401944008
41.0,41.0,train,2.4353000427374964E-4,23.08299193784113,0.3744637938239165
42.0,42.0,train,0.0014303883137256504,81.22854107554161,0.9364264643681035
43.0,43.0,train,7.72337284605637E-4,60.5505416571589,0.7741449455235899
45.0,45.0,train,0.001496555789216728,82.32941606127675,0.9440348278322327
48.0,48.0,train,0.0017662789227917274,87.50168438836636,0.9667144290268748
49.0,49.0,train,5.972554372354881E-4,50.757274635129924,0.6835459004046058
50.0,50.0,train,0.0035785728274111465,98.75090784348271,0.9989860560843676
51.0,51.0,train,2.461227918436832E-4,23.2524576400283,0.3775804638535464
52.0,52.0,train,0.001802953918936839,88.04050581917845,0.9689849738842008
54.0,54.0,train,0.002787998634491557,95.48817539191364,0.9953501184320402
55.0,55.0,train,3.9895564862394805E-4,36.722972582158654,0.5363217183387522
56.0,56.0,train,1.3337049277291525E-4,12.787579320884984,0.22657789680310436
57.0,57.0,train,8.746023794328752E-4,64.80770952460674,0.8145313584401854
59.0,59.0,train,3.9643916507888454E-4,36.491085800853675,0.5340684154330846
60.0,60.0,train,4.190262482246925E-5,2.378300203252295,0.07755074637272463
61.0,61.0,train,3.5701144269253976E-4,33.28388086210588,0.497299798775929
62.0,62.0,train,0.001630421271501849,85.5874273248716,0.9567565540627644
63.0,63.0,train,9.049160312124E-4,65.77451576067723,0.8250520724869913
64.0,64.0,train,0.002115362620711381,91.86726338852813,0.9830098286715448
66.0,66.0,train,1.309958619080651E-4,12.535981928574753,0.22303170657625848
67.0,67.0,train,1.719699699924165E-4,16.417275138417434,0.2820030212313064
69.0,69.0,train,2.1498217313503553E-4,21.08709224158651,0.3390984350601288
70.0,70.0,train,0.001594657626721865,84.86025186233603,0.9536721998000203
71.0,71.0,train,6.947957931639601E-4,56.261790161968165,0.7377567488703433
73.0,73.0,train,9.775767811706483E-4,68.22991200921332,0.8479040213728543
74.0,74.0,train,8.642758570740147E-4,64.21581645935322,0.8108048067523792
75.0,75.0,train,0.001630421271501849,85.5874273248716,0.9567565540627644
76.0,76.0,train,1.097265954026144E-4,9.938978641237743,0.1905350127392167
77.0,77.0,train,7.44637433108696E-4,58.570699978385406,0.7617654820946487
78.0,78.0,train,8.892806070686715E-4,65.29797531586023,0.8197023516506627
81.0,81.0,train,0.0012912240743847385,76.56905935961298,0.9168797041227819
82.0,82.0,train,7.807482853246562E-4,61.32478757989839,0.7777750517899421
83.0,83.0,train,2.5177609847986694E-4,23.72281576519678,0.3843223064627407
84.0,84.0,train,1.0201444759332638E-4,9.092753525097134,0.17841901548784178
85.0,85.0,train,8.353720936543116E-5,6.807431770314771,0.14864788067000068
86.0,86.0,train,0.0014001691545580865,80.31630314989377,0.9326156570880242
87.0,87.0,train,2.685583109726265E-4,25.256305560627826,0.4039088046295092
