x,y,species cloglog values
228.0,228.0,0.43800142
229.0,229.0,0.787386
230.0,230.0,0.043762203
231.0,231.0,0.14770931
232.0,232.0,0.24189043
233.0,233.0,0.80960363
234.0,234.0,0.08623756
235.0,235.0,0.053911638
236.0,236.0,0.20237067
237.0,237.0,0.12946449
238.0,238.0,0.33617872
239.0,239.0,0.6827442
240.0,240.0,0.18380395
241.0,241.0,0.006026839
242.0,242.0,0.20339258
243.0,243.0,0.2792331
244.0,244.0,0.076457925
245.0,245.0,0.17011902
246.0,246.0,0.1691201
247.0,247.0,0.47377568
248.0,248.0,0.045943025
249.0,249.0,0.22523312
250.0,250.0,0.054961488
251.0,251.0,0.08336183
252.0,252.0,0.039401643
253.0,253.0,0.33546486
254.0,254.0,0.33727446
255.0,255.0,0.09957498
256.0,256.0,0.34422433
257.0,257.0,0.08825424
258.0,258.0,0.009227001
259.0,259.0,0.12740073
260.0,260.0,0.3050147
261.0,261.0,0.06972764
262.0,262.0,0.45397717
263.0,263.0,0.0038786016
264.0,264.0,0.061116062
265.0,265.0,0.6411433
266.0,266.0,0.007886894
267.0,267.0,0.406978
268.0,268.0,0.013390748
269.0,269.0,0.037429094
270.0,270.0,0.13820301
271.0,271.0,0.01650586
272.0,272.0,0.0027470517
273.0,273.0,0.011189481
274.0,274.0,0.44433215
275.0,275.0,0.27173948
276.0,276.0,0.05420121
277.0,277.0,0.21769337
278.0,278.0,0.5497731
279.0,279.0,0.4417431
280.0,280.0,0.30783468
281.0,281.0,0.11668752
282.0,282.0,0.4294404
283.0,283.0,0.117729604
284.0,284.0,0.6382936
285.0,285.0,0.68199956
286.0,286.0,0.05255985
287.0,287.0,0.052511625
288.0,288.0,0.24366945
289.0,289.0,0.07008862
290.0,290.0,0.10756009
291.0,291.0,0.14185464
292.0,292.0,0.17500776
293.0,293.0,0.1780579
294.0,294.0,0.2993911
295.0,295.0,0.4280245
296.0,296.0,0.23762406
297.0,297.0,0.20227008
298.0,298.0,0.30069944
299.0,299.0,0.07958556
300.0,300.0,0.08578683
301.0,301.0,0.69844633
302.0,302.0,0.14889616
303.0,303.0,0.12433614
304.0,304.0,0.018787762
305.0,305.0,0.2581847
306.0,306.0,0.2782354
307.0,307.0,0.5925408
308.0,308.0,0.2043166
309.0,309.0,0.7559115
310.0,310.0,0.4006699
311.0,311.0,0.68380207
312.0,312.0,0.11597282
313.0,313.0,0.47992724
314.0,314.0,0.2523608
315.0,315.0,0.18652296
316.0,316.0,0.088359915
317.0,317.0,0.28776148
318.0,318.0,0.004441244
319.0,319.0,0.26507887
320.0,320.0,0.032253135
321.0,321.0,0.1147247
322.0,322.0,0.13672937
323.0,323.0,0.020647211
324.0,324.0,0.64222026
325.0,325.0,0.19535218
326.0,326.0,0.03887352
327.0,327.0,0.107061185
328.0,328.0,0.07458695
329.0,329.0,0.048070498
330.0,330.0,0.22946477
331.0,331.0,0.026575178
332.0,332.0,0.034789946
333.0,333.0,0.010965714
334.0,334.0,0.19206335
335.0,335.0,0.0052383263
336.0,336.0,0.3531843
337.0,337.0,0.097863786
338.0,338.0,0.025742892
339.0,339.0,0.0015297558
340.0,340.0,0.7353008
341.0,341.0,0.07123029
342.0,342.0,0.40348503
343.0,343.0,0.050881654
344.0,344.0,0.36743242
345.0,345.0,0.69275314
346.0,346.0,0.005547548
347.0,347.0,0.16616908
348.0,348.0,0.055904217
349.0,349.0,0.20906934
350.0,350.0,0.004344822
351.0,351.0,0.1941865
352.0,352.0,0.75598985
353.0,353.0,0.034542937
354.0,354.0,0.029788062
355.0,355.0,0.22331513
356.0,356.0,0.11056495
357.0,357.0,0.028491635
358.0,358.0,0.011656829
359.0,359.0,0.1567082
360.0,360.0,0.12075525
361.0,361.0,0.35400867
362.0,362.0,0.45524096
363.0,363.0,0.1761982
364.0,364.0,0.068841815
365.0,365.0,0.065870255
366.0,366.0,0.20997441
367.0,367.0,0.36952406
368.0,368.0,0.44326803
369.0,369.0,0.13715756
370.0,370.0,0.40249693
