Record ID,Record date,Record time,Species,Lifestage,Sex,Quantity,County,Nearest town/City,Grid ref,Verification state,Latitude,Longitude
66754,2024-09-21,16:50:00,Smooth newt,unknown,unknown,1,Perth and Kinross,Perth,NO22,,56.36552528929392,-3.296743019491302
66713,2024-09-20,15:15:00,Common frog,Adult,unknown,1,Falkirk,Woodlands,NS87,,55.908096326281786,-3.9217528270127855
66712,2024-09-19,13:40:00,Adder,Young,unknown,1,Argyll and Bute,,NR44,,55.58403537669554,-6.133146049598953
66710,2024-09-20,08:48:00,Common lizard,Adult,unknown,1,Perth and Kinross,,NN75,,56.623757832076684,-4.121189782371863
66695,2024-09-20,12:30:00,Unknown lizard,Adult,unknown,2,Aberdeenshire,Fyvie,NJ73,,57.35948841046221,-2.5003071820168343
66640,2024-09-18,12:30:00,Common lizard,Adult,unknown,1,Stirling,Stirling,NS59,,56.07921425309798,-4.412959025957846
66631,2024-09-18,07:14:00,Common lizard,Adult,unknown,1,South Lanarkshire,Machan,NS75,,55.72591691209908,-4.072185273910271
66620,2024-09-16,21:30:00,Common toad,Adult,unknown,1,Dundee City,Brackens,NO33,,56.45693566857098,-3.1375294108434373
66587,2024-09-16,12:35:00,Unknown lizard,unknown,unknown,1,North Ayrshire,,NR93,,55.51846018297016,-5.331046991364488
66586,2024-09-16,12:35:00,Adder,unknown,unknown,1,North Ayrshire,,NR93,,55.51846018297016,-5.331046991364488
66550,2024-09-14,20:04:00,Unknown newt,Young,unknown,1,North Ayrshire,Kilwinning,NS34,,55.623782129480375,-4.703064580525368
66517,2024-07-30,14:00:00,Common lizard,Young,unknown,1,City Of Edinburgh,,NT16,,55.824826681548124,-3.4383893728975528
66516,2024-07-17,13:39:00,Common lizard,Adult,unknown,1,East Lothian,,NT56,,55.83063478056823,-2.799807079781586
66506,2024-08-31,16:33:00,Unknown lizard,unknown,unknown,1,Angus,Brechin,NO48,,56.90743461425339,-2.9869377719050383
66457,2024-09-09,15:00:00,Unknown newt,unknown,unknown,1,Aberdeenshire,Banchory,NO89,,57.00072709331582,-2.330857967880216
66451,2024-08-11,17:00:00,Adder,Adult,unknown,1,Dumfries and Galloway,Newton Stewart,NX48,,55.08856181282913,-4.509781201255703
