x,y,species cloglog values
229.0,229.0,0.082568996
230.0,230.0,0.0870751
231.0,231.0,0.077054106
232.0,232.0,0.40932238
233.0,233.0,0.16699997
234.0,234.0,0.04824436
235.0,235.0,0.27141684
236.0,236.0,0.037086647
237.0,237.0,0.34223944
238.0,238.0,0.19159351
239.0,239.0,0.059359416
240.0,240.0,0.03458257
241.0,241.0,0.8178833
242.0,242.0,0.14733304
243.0,243.0,0.2997942
244.0,244.0,0.2817677
245.0,245.0,0.3233419
246.0,246.0,0.1322618
247.0,247.0,0.8192013
248.0,248.0,0.035710126
249.0,249.0,0.06120158
250.0,250.0,0.46482885
251.0,251.0,0.051314194
252.0,252.0,0.1582506
253.0,253.0,0.12280705
254.0,254.0,0.18952963
255.0,255.0,0.016858125
256.0,256.0,0.21507089
257.0,257.0,0.2150087
258.0,258.0,0.4774007
259.0,259.0,0.0614385
260.0,260.0,0.0111928405
261.0,261.0,0.17205645
262.0,262.0,0.07903773
263.0,263.0,0.16441949
264.0,264.0,0.037465163
265.0,265.0,0.22682507
266.0,266.0,0.058938384
267.0,267.0,0.1971222
268.0,268.0,0.21067835
269.0,269.0,0.1809273
270.0,270.0,0.11175118
271.0,271.0,0.06756506
272.0,272.0,0.57941866
273.0,273.0,0.15526718
274.0,274.0,0.028857097
275.0,275.0,0.042420015
276.0,276.0,0.29247615
277.0,277.0,0.022491757
278.0,278.0,0.07343603
279.0,279.0,0.17212135
280.0,280.0,0.09833364
281.0,281.0,0.1947876
282.0,282.0,0.42073083
283.0,283.0,0.119827434
284.0,284.0,0.4654982
285.0,285.0,0.04914677
286.0,286.0,0.027648244
287.0,287.0,0.06689984
288.0,288.0,0.47915557
289.0,289.0,0.05121163
290.0,290.0,0.034619864
291.0,291.0,0.1088977
292.0,292.0,0.08054128
293.0,293.0,0.03128551
294.0,294.0,0.11232859
295.0,295.0,0.07941593
296.0,296.0,0.03355458
297.0,297.0,0.41592854
298.0,298.0,0.034209788
299.0,299.0,0.022110723
300.0,300.0,0.030063761
301.0,301.0,0.2927715
302.0,302.0,0.27460524
303.0,303.0,0.024165014
304.0,304.0,0.026640266
305.0,305.0,0.17161089
306.0,306.0,0.07866257
307.0,307.0,0.24443027
308.0,308.0,0.11991497
309.0,309.0,0.47348276
310.0,310.0,0.2818903
311.0,311.0,0.4692835
312.0,312.0,0.04183459
313.0,313.0,0.089582615
314.0,314.0,0.028077142
315.0,315.0,0.101304345
316.0,316.0,0.6447947
317.0,317.0,0.295335
318.0,318.0,0.3363713
319.0,319.0,0.4169897
320.0,320.0,0.5585606
321.0,321.0,0.34119993
322.0,322.0,0.059811436
323.0,323.0,0.38882977
324.0,324.0,0.22741318
325.0,325.0,0.2773423
326.0,326.0,0.22677866
327.0,327.0,0.15477939
328.0,328.0,0.09802353
329.0,329.0,0.23772258
330.0,330.0,0.046853773
331.0,331.0,0.21898428
332.0,332.0,0.04005774
333.0,333.0,0.1053815
334.0,334.0,0.81429446
335.0,335.0,0.08194655
336.0,336.0,0.05090558
337.0,337.0,0.26713654
338.0,338.0,0.26692462
339.0,339.0,0.09796706
340.0,340.0,0.37844157
341.0,341.0,0.5103953
342.0,342.0,0.46478668
343.0,343.0,0.38679403
344.0,344.0,0.87586546
345.0,345.0,0.075756066
346.0,346.0,0.24912374
347.0,347.0,0.015436612
348.0,348.0,0.21177109
349.0,349.0,0.04713973
350.0,350.0,0.5864719
351.0,351.0,0.1032872
352.0,352.0,0.47002354
353.0,353.0,0.13827053
354.0,354.0,0.058525123
355.0,355.0,0.18577416
356.0,356.0,0.04045567
357.0,357.0,0.09344695
358.0,358.0,0.20260304
359.0,359.0,0.15749535
360.0,360.0,0.46451563
361.0,361.0,0.16982825
