C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Building_Density_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/DistWater_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/NOx_Stand_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/RGS_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Runoff_Coefficient_Standardised_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Slope_Proj_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/SoilMoisture_32bit_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Traffic_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Wood_Resample_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Grass_Stand.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_median.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_StDev.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/VegHeight.tif
1.0,0.75312257,0.97830397,0.7813646,0.76560664,0.8598722,0.46423733,0.9583653,1.0,0.52655727,0.75547785,0.45947173,0.38736755
1.0,0.84181374,0.9918665,0.9057323,0.8244994,0.41820854,0.17405957,0.9344978,0.9841101,0.42694634,0.7593023,0.27341366,0.34290045
1.0,0.9924524,0.9701262,1.0,0.76560664,0.91947204,0.3757642,0.9381165,0.9990535,0.6633556,0.71475774,0.30359623,0.11147105
1.0,0.9057169,0.93407226,0.67428553,0.64782095,0.8832587,0.2779866,0.90427023,0.972718,0.54455215,0.7959195,0.29428643,0.13296466
1.0,0.94706005,0.983447,0.76848924,0.76560664,0.9714733,0.33452576,0.95593166,1.0,0.3417903,0.7137444,0.30128768,0.24535686
0.9199723,0.96169674,0.75147754,0.98073417,0.058892846,0.92245114,0.22930896,0.85323346,0.98795754,0.3281957,0.61510384,0.18105851,0.07243107
0.9980446,0.9338057,0.88243306,0.9952413,0.64782095,0.9592601,0.3984676,0.9119913,0.974397,0.3706889,0.8078101,0.26888844,0.20829438
1.0,0.9562889,0.92036957,0.98645335,0.64782095,0.7331611,0.22749674,0.91826874,0.9652343,0.21473356,0.81011105,0.24816671,0.10694805
0.9987614,0.83029294,0.9830862,0.117132604,0.64782095,0.8525678,0.3769284,0.89447874,0.9839859,0.32769907,0.7300692,0.22627288,0.2404754
1.0,0.9599662,0.99435264,0.9384724,0.58892816,0.7735922,0.13078922,0.94724095,1.0,0.0668418,0.81966656,0.29835522,0.23414947
1.0,0.9699908,0.92394626,1.0,0.58892816,0.9590782,0.41842794,0.8899434,0.9793201,0.6227101,0.69674855,0.37480718,0.13008304
1.0,0.7900462,0.9566499,0.09003925,0.64782095,0.79006064,0.37200403,0.8950977,0.9545473,0.35882825,0.9151357,0.38539726,0.13296466
1.0,0.83561957,0.9109054,0.9822483,0.5300354,0.9552696,0.2576846,0.8876882,0.90730816,0.7164639,0.7670653,0.25024727,0.13008304
1.0,0.7477925,0.9603816,0.30242956,0.64782095,0.9753568,0.19847137,0.9500462,0.99011284,0.71667624,0.8486015,0.38199982,0.35862288
0.999799,0.8682854,0.96263444,0.99306226,0.64782095,0.9726423,0.39224488,0.92589307,0.9750254,0.6982171,0.85198253,0.27968743,0.13748765
1.0,0.8422514,0.9722248,0.9451914,0.64782095,0.8873747,0.1490795,0.92374134,0.9642459,0.4877935,0.8708458,0.3027541,0.10406644
1.0,0.5698415,0.97483504,0.6447725,0.64782095,0.81515074,0.3936079,0.9397293,0.9569011,0.8254939,0.8187296,0.34728122,0.15609966
0.9113194,0.9153149,0.7786865,0.904069,0.058892846,0.97703636,0.15090793,0.7792041,0.99122083,0.44065118,0.64840835,0.094417326,0.13014135
1.0,0.85124373,0.9828279,0.9622833,0.64782095,0.7235469,0.34535348,0.9401401,0.68656874,0.7211348,0.81790173,0.31249684,0.12556003
1.0,0.9302046,0.9941877,0.9061046,0.76560664,0.70646846,0.17990679,0.98468083,0.99748665,0.45544514,0.75207496,0.35572323,0.21662015
1.0,0.7807821,0.9501705,0.9943186,0.8244994,0.6704354,0.11734593,0.8976524,0.9059024,0.54229325,0.77408487,0.2670986,0.22674486
1.0,0.89983726,0.79776144,0.96520567,0.58892816,0.925441,0.24581897,0.630064,1.0,0.4482018,0.8189693,0.36836705,0.43487775
1.0,0.703192,0.9794319,0.72625625,0.64782095,0.7445034,0.3767088,0.94049853,0.9901869,0.74998105,0.8367317,0.22465365,0.13404733
1.0,0.6541709,0.97706014,0.22160363,0.76560664,0.6350049,0.3715617,0.8655787,1.0,0.38314554,0.87561274,0.3151021,0.43107498
1.0,0.86146045,0.9875847,0.8137933,0.64782095,0.861286,0.37092376,0.9684483,0.6552054,0.55365074,0.7958366,0.2182373,0.122839935
1.0,0.74908674,0.9764928,0.9143276,0.64782095,0.8322085,0.2187928,0.95866406,0.989921,0.18862118,0.7008804,0.31885627,0.22271036
1.0,0.8949183,0.899452,0.6847183,0.58892816,0.9410533,0.24473518,0.76824915,0.988001,0.44952735,0.65312475,0.32923794,0.23854642
0.9998374,0.94412184,0.9600969,0.5571649,0.64782095,0.9511275,0.3211984,0.95045453,0.9660389,0.6749801,0.8946089,0.2975615,0.10406644
1.0,1.0,0.9438613,0.96888304,0.58892816,0.99515074,0.38305718,0.8447175,0.9363709,0.66991466,0.6968793,0.28601044,0.13296466
1.0,0.6008979,0.97484565,0.6966611,0.64782095,0.91125953,0.44750798,0.9636538,0.83964527,0.69591963,0.8455213,0.30726418,0.11583255
1.0,0.79912764,0.973815,0.9359504,0.58892816,0.63591534,0.2189334,0.9549807,1.0,0.20346422,0.7940071,0.28681195,0.24171561
1.0,0.88996387,0.9210663,0.9102045,0.58892816,0.8942589,0.5917605,0.90966713,0.92488325,0.7239522,0.8493163,0.55365205,0.10406644
1.0,0.96709275,0.9622075,0.98869437,0.058892846,0.9847962,0.7020222,0.9444127,0.9893452,0.5059025,0.6947772,0.14781019,0.20603777
