C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Building_Density_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/DistWater_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/NOx_Stand_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/RGS_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Runoff_Coefficient_Standardised_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Slope_Proj_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/SoilMoisture_32bit_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Traffic_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Wood_Resample_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Grass_Stand.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_median.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_StDev.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/VegHeight.tif,label
1.0,0.9475858,0.9860539,0.6665145,0.64782095,0.7718631,0.29197592,0.9792486,0.859552,0.38994294,0.67053545,0.3981576,0.21662015,0
1.0,0.6955717,0.9691044,0.7584876,0.76560664,0.9514098,0.47353888,0.9775879,0.77719843,0.71248406,0.76319325,0.3404163,0.15157665,0
0.9981793,0.9171916,0.7183416,0.966297,0.76560664,0.96330905,0.2150538,0.6255901,0.9973666,0.07548946,0.81103104,0.34023392,0.26632655,1
1.0,0.8659802,0.9743743,0.9961442,0.76560664,0.9133557,0.37918496,0.95675063,1.0,0.472091,0.9542582,0.35846573,0.4903513,0
0.99885297,0.9853946,0.8882043,0.99345255,0.76560664,0.8662299,0.22354448,0.93460107,1.0,0.380999,0.8015452,0.31249788,0.48042747,0
0.99632335,0.9075314,0.8295103,0.9835693,0.76560664,0.9434023,0.31792897,0.6032287,1.0,0.3976215,0.83280456,0.43297017,0.4468054,1
1.0,0.9086529,0.9275888,0.9992026,0.76560664,0.97816646,0.25932384,0.9113149,1.0,0.11742802,0.7800363,0.34621343,0.21825759,1
1.0,0.98730177,0.98141336,0.6522314,0.76560664,0.9457434,0.39354497,0.96993643,1.0,0.5063075,0.7570129,0.38767633,0.33477956,1
1.0,0.8030877,0.95792204,0.99264824,0.76560664,0.9339124,0.24429655,0.8845804,1.0,0.4372143,0.9314173,0.34479174,0.5277368,0
0.999436,0.9676269,0.95787346,0.99697703,0.64782095,0.9148786,0.2740507,0.8956207,0.9861831,0.69480276,0.9251698,0.3373112,0.15141514,0
1.0,0.7719893,0.94555485,0.8186764,0.58892816,0.9506662,0.2548641,0.863642,0.99803174,0.13146418,0.73355675,0.34350488,0.28818256,0
1.0,0.9798548,0.9742519,0.9957296,0.76560664,0.95253384,0.76403373,0.9491823,1.0,0.75459313,0.89603525,0.32926285,0.6384876,0
1.0,0.9194088,0.9817233,0.97922885,0.64782095,0.8423703,0.61315036,0.9468388,0.9402807,0.5014361,0.7835113,0.29420292,0.18211626,1
1.0,0.9951635,0.8931342,0.9614682,0.64782095,0.9926293,0.13239652,0.66892505,0.97178173,0.44820786,0.7633733,0.3643985,0.14145194,1
1.0,0.7466711,0.97180045,0.9306885,0.058892846,0.8709029,0.7967391,0.950333,0.9953631,0.6549854,0.7119134,0.31143156,0.27153498,1
1.0,0.91582954,0.8422894,0.95935416,0.76560664,0.9010717,0.3202169,0.72626543,0.99873483,0.4138512,0.8324779,0.27907845,0.16458297,1
1.0,0.99044967,0.8954795,0.9587915,0.64782095,0.98275363,0.13224918,0.6720009,0.96010274,0.45128283,0.7530813,0.31794468,0.115435325,1
1.0,0.7178143,0.9855536,0.9218279,0.64782095,0.9692602,0.31881392,0.9787814,0.6975711,0.58435863,0.7866065,0.27565742,0.10694805,0
1.0,0.9524197,0.9227038,0.6563121,0.64782095,0.9960853,0.38942516,0.88602686,0.96836656,0.38663837,0.90515846,0.30502602,0.10406644,0
1.0,0.9445495,0.705896,0.8656388,0.64782095,0.9754976,0.45841897,0.71752024,0.9952097,0.36362118,0.7838511,0.29885653,0.26576778,1
1.0,0.95400995,0.90140575,0.80088824,0.64782095,0.92409015,0.43234313,0.67246616,0.99684423,0.25688735,0.78852826,0.33620828,0.20525126,1
1.0,0.9574041,0.6541309,0.94791913,1.0,0.80794597,0.23945981,0.43068147,0.9825649,0.07378007,0.63569593,0.21922779,0.04345864,1
1.0,0.8658394,0.9625409,0.99004316,0.64782095,0.8582545,0.8229633,0.94423527,0.958753,0.74253094,0.84352565,0.28387147,0.12556003,0
1.0,0.99717325,0.92783386,0.7209457,0.64782095,0.98584664,0.28791642,0.9377454,0.99122065,0.43742213,0.78663296,0.2827568,0.178152,1
1.0,0.73949486,0.95742697,0.9747065,0.64782095,0.82339525,0.11203605,0.8917159,0.8680219,0.56468815,0.7768727,0.24259214,0.12556003,0
1.0,0.95118904,0.7715207,0.8020257,0.76560664,0.7772495,0.21090716,0.55296266,0.99799687,0.21408932,0.8157228,0.35443026,0.32644978,1
1.0,0.944839,0.9355839,0.9551239,0.76560664,0.83133554,0.4807232,0.9260994,1.0,0.5553781,0.8222767,0.42393216,0.35807207,1
1.0,0.63226813,0.975821,0.20989108,0.8244994,0.5852802,0.36894596,0.8722426,0.99183184,0.34623584,0.7874352,0.36282045,0.34181777,0
1.0,0.9338573,0.9712718,0.97098154,0.64782095,0.9703154,0.79239464,0.9460512,0.9838525,0.68166023,0.8138117,0.33689877,0.051347777,0
1.0,0.9809096,0.75535595,1.0,0.64782095,0.94324684,0.2594853,0.69196963,0.9527682,0.0381844,0.84905076,0.26892197,0.10406644,1
1.0,0.8678441,0.97713727,0.99370366,0.58892816,0.87100995,0.4034112,0.9427177,0.9917781,0.5076965,0.787607,0.23981449,0.13008304,0
1.0,0.5215727,0.98433274,0.9469937,0.64782095,0.7616669,0.27379984,0.95201766,0.8867305,0.85187244,0.78975064,0.2917476,0.16746853,0
1.0,0.8310333,0.9556824,0.9868114,0.5300354,0.84855354,0.2280128,0.9717856,0.8853766,0.39662135,0.75843495,0.2597213,0.15609966,0
1.0,0.99727535,0.8022717,0.95526326,0.76560664,0.9612407,0.45841897,0.8285537,1.0,0.32478866,0.78200054,0.38396877,0.32064384,1
0.90487385,0.983557,0.6492785,0.9921676,0.058892846,0.95864755,0.26222467,0.57523245,0.9841286,0.04412974,0.7294951,0.34057188,0.20953855,0
1.0,0.92055553,0.93962395,0.6908739,0.58892816,0.96458703,0.27569622,0.9446066,0.94997627,0.40090936,0.6035529,0.45355928,0.10406644,0
1.0,0.9561528,0.85555613,0.9522988,0.76560664,0.9743986,0.6055852,0.72178805,1.0,0.52355206,0.7779645,0.4338451,0.27425507,1
0.949872,0.9172197,0.9143255,0.9319602,0.76560664,0.97455513,0.23616832,0.8748438,0.99807656,0.09614511,0.80839926,0.30457535,0.3539463,1
1.0,0.7106246,0.9601574,0.89857805,0.76560664,0.9708615,0.4100147,0.963994,1.0,0.5946478,0.85939175,0.3361721,0.4771795,0
0.9629593,0.947008,0.6307156,0.90538704,0.058892846,0.90933377,0.19639283,0.31560826,0.9937897,0.14922182,0.71091586,0.3583448,0.27653518,0
1.0,0.9394036,0.9281194,1.0,0.64782095,0.98801,0.25932384,0.9140966,0.9531131,0.12528855,0.7396824,0.3258092,0.11419115,1
1.0,0.85346425,0.9557303,0.24655849,0.58892816,0.9333381,0.18473542,0.97876394,0.96573794,0.62180954,0.74903554,0.28934932,0.115435325,0
0.9999273,0.9843385,0.69635284,0.97463846,0.76560664,0.99748236,0.26139086,0.56627035,0.99457115,0.26656085,0.76404774,0.26446274,0.18375766,1
0.9778024,0.9728614,0.99144095,0.91251385,0.76560664,0.7050979,0.13997161,0.93130827,1.0,0.2552847,0.78051746,0.3215688,0.5207294,1
0.89507914,0.98428726,0.4664865,0.99350876,0.058892846,0.8902254,0.37606072,0.6532748,0.9910543,0.074376106,0.6680717,0.2510376,0.13689923,1
1.0,0.99620646,0.7211632,0.914123,0.76560664,0.95767415,0.3721344,0.7324083,0.992071,0.32762563,0.6085791,0.36859703,0.08721396,1
0.9898342,0.98890716,0.75752753,0.9064036,0.058892846,0.9892818,0.23567897,0.60068333,0.9525861,0.3691874,0.57505715,0.08346635,0.0028816047,1
1.0,0.90635633,0.9001164,0.9992414,0.76560664,0.9744569,0.38645566,0.8093621,1.0,0.38212466,0.84122336,0.3895357,0.39725652,1
1.0,0.9675844,0.9331076,0.9897408,0.5300354,0.9365032,0.2306847,0.87953925,0.9344941,0.35559535,0.75693125,0.25803867,0.13008304,0
1.0,0.8573803,0.99766666,0.56426513,0.64782095,0.7213584,0.4242698,0.98953277,0.73712564,0.7814703,0.7728072,0.37103617,0.13404733,0
0.98249686,0.87350386,0.9528806,0.9174415,0.76560664,0.9552273,0.4090855,0.9535522,0.99746925,0.56322974,0.78235376,0.37400538,0.33477557,0
1.0,0.84506834,0.9757116,0.849038,0.64782095,0.84231853,0.28438926,0.92969203,0.930925,0.60157424,0.8009948,0.3326921,0.10406644,0
0.9969028,0.9929208,0.81477046,0.9994897,0.58892816,0.99445647,0.21196169,0.77654004,0.9959467,0.055162422,0.77239627,0.352137,0.25276148,1
