x,y,species cloglog values
228.0,228.0,0.3173404
229.0,229.0,0.21990411
230.0,230.0,0.13474824
231.0,231.0,0.112250976
232.0,232.0,0.40658206
233.0,233.0,0.57980084
234.0,234.0,0.19044231
235.0,235.0,0.20248497
236.0,236.0,0.16949861
237.0,237.0,0.5196075
238.0,238.0,0.9935217
239.0,239.0,0.012543151
240.0,240.0,0.036103234
241.0,241.0,0.008828797
242.0,242.0,0.49694556
243.0,243.0,0.044542264
244.0,244.0,0.20646846
245.0,245.0,0.3293875
246.0,246.0,0.08270595
247.0,247.0,0.008363768
248.0,248.0,0.53681165
249.0,249.0,0.030294264
250.0,250.0,0.29874498
251.0,251.0,0.70834273
252.0,252.0,0.22423685
253.0,253.0,0.21528274
254.0,254.0,0.5278997
255.0,255.0,0.072756395
256.0,256.0,0.08033688
257.0,257.0,0.43501255
258.0,258.0,0.22828159
259.0,259.0,0.77583265
260.0,260.0,0.08928418
261.0,261.0,0.36950973
262.0,262.0,0.29040807
263.0,263.0,0.2342193
264.0,264.0,0.090842344
265.0,265.0,0.123715915
266.0,266.0,0.40881488
267.0,267.0,0.6500752
268.0,268.0,0.603374
269.0,269.0,0.47710034
270.0,270.0,0.2954208
271.0,271.0,0.061463214
272.0,272.0,0.10354148
273.0,273.0,0.30274144
274.0,274.0,0.36971796
275.0,275.0,0.42115256
276.0,276.0,0.008474579
277.0,277.0,0.8983872
278.0,278.0,0.18962696
279.0,279.0,0.1401553
280.0,280.0,0.5124732
281.0,281.0,0.57625663
282.0,282.0,0.39590326
283.0,283.0,0.06604245
284.0,284.0,0.22977358
285.0,285.0,0.12823284
286.0,286.0,0.3556531
287.0,287.0,0.42596668
288.0,288.0,0.034581617
289.0,289.0,0.44000083
290.0,290.0,0.29486072
291.0,291.0,0.059364635
292.0,292.0,0.03885835
293.0,293.0,0.028922286
294.0,294.0,0.0076117236
295.0,295.0,0.6322276
296.0,296.0,0.083618045
297.0,297.0,0.081255436
298.0,298.0,0.10962612
299.0,299.0,0.28744206
300.0,300.0,0.041507322
301.0,301.0,0.18557021
302.0,302.0,0.57592446
303.0,303.0,0.011134365
304.0,304.0,0.7070919
305.0,305.0,0.0014594663
306.0,306.0,0.027837995
307.0,307.0,0.15536958
308.0,308.0,0.18308432
309.0,309.0,0.0074007283
310.0,310.0,0.12769485
311.0,311.0,0.8471904
312.0,312.0,0.19422543
313.0,313.0,0.41911224
314.0,314.0,0.5654231
315.0,315.0,0.15076037
316.0,316.0,0.10009251
317.0,317.0,0.036932502
318.0,318.0,0.103477545
319.0,319.0,0.16508111
320.0,320.0,0.15009405
321.0,321.0,0.16124235
322.0,322.0,0.047431923
323.0,323.0,0.6281972
324.0,324.0,0.13274294
325.0,325.0,0.17266096
326.0,326.0,0.25839522
327.0,327.0,0.04793052
328.0,328.0,0.3136755
329.0,329.0,0.346061
330.0,330.0,0.43215913
331.0,331.0,0.14014474
332.0,332.0,0.25264463
333.0,333.0,0.59171945
334.0,334.0,0.034738313
335.0,335.0,0.64379734
336.0,336.0,0.27404818
337.0,337.0,0.15558696
338.0,338.0,0.049334496
339.0,339.0,0.0031427247
340.0,340.0,0.08582471
341.0,341.0,0.9419379
342.0,342.0,0.08317277
343.0,343.0,0.15162446
344.0,344.0,0.056733374
345.0,345.0,0.0042460393
346.0,346.0,0.12892413
347.0,347.0,0.22711064
348.0,348.0,0.098125264
349.0,349.0,0.919364
350.0,350.0,0.27070388
351.0,351.0,0.27886102
352.0,352.0,0.019611746
353.0,353.0,0.10100165
354.0,354.0,0.022918597
355.0,355.0,0.07924825
356.0,356.0,0.046277046
357.0,357.0,0.05370277
358.0,358.0,0.07909064
359.0,359.0,0.13837117
360.0,360.0,0.15932484
361.0,361.0,0.40872195
362.0,362.0,0.0018293818
363.0,363.0,0.92720294
364.0,364.0,0.4034647
365.0,365.0,0.8135034
366.0,366.0,0.07675224
367.0,367.0,0.082268775
368.0,368.0,0.3208894
369.0,369.0,0.72164726
370.0,370.0,0.62647873
371.0,371.0,0.42677876
372.0,372.0,0.028319811
373.0,373.0,0.33888787
374.0,374.0,0.84277993
375.0,375.0,0.36287233
376.0,376.0,0.11011491
377.0,377.0,0.27717495
378.0,378.0,0.18883698
379.0,379.0,0.7021195
380.0,380.0,0.84513205
381.0,381.0,0.107850604
382.0,382.0,0.056849275
383.0,383.0,0.5200147
384.0,384.0,0.10187444
385.0,385.0,0.0036237852
386.0,386.0,0.1230424
387.0,387.0,0.9449844
388.0,388.0,0.3875512
389.0,389.0,0.024969814
390.0,390.0,0.10613295
391.0,391.0,0.96979904
392.0,392.0,0.016077122
393.0,393.0,0.5132366
394.0,394.0,0.2867841
395.0,395.0,0.3037513
396.0,396.0,0.48883718
397.0,397.0,0.029264117
398.0,398.0,0.200834
399.0,399.0,0.018482901
400.0,400.0,0.33539546
401.0,401.0,0.44302276
402.0,402.0,7.491938E-5
403.0,403.0,0.08222804
404.0,404.0,0.05622992
405.0,405.0,0.11697783
406.0,406.0,0.67806447
407.0,407.0,0.53757554
408.0,408.0,0.07617335
409.0,409.0,0.4551626
410.0,410.0,0.12068494
411.0,411.0,0.04952273
412.0,412.0,0.14547662
413.0,413.0,0.025822453
414.0,414.0,0.009388887
415.0,415.0,0.6152561
416.0,416.0,0.009688692
417.0,417.0,0.6606237
418.0,418.0,0.090636976
419.0,419.0,0.017272102
420.0,420.0,0.06914293
421.0,421.0,0.11600903
422.0,422.0,0.070354395
423.0,423.0,0.115061596
424.0,424.0,0.68594843
425.0,425.0,0.6132918
426.0,426.0,0.069109574
427.0,427.0,0.31419572
428.0,428.0,0.07728057
429.0,429.0,0.8631875
430.0,430.0,0.3730073
431.0,431.0,0.02866124
432.0,432.0,0.035779078
433.0,433.0,0.18720204
434.0,434.0,0.051915906
435.0,435.0,0.37212437
436.0,436.0,0.0696572
437.0,437.0,0.13470605
438.0,438.0,0.070014425
439.0,439.0,0.40234557
440.0,440.0,0.27288806
441.0,441.0,0.40524286
442.0,442.0,0.3652512
443.0,443.0,0.061897233
444.0,444.0,0.4961478
445.0,445.0,0.36616492
446.0,446.0,0.020506969
447.0,447.0,0.14844848
448.0,448.0,0.8036187
449.0,449.0,0.081288494
450.0,450.0,0.16934244
451.0,451.0,0.237853
452.0,452.0,0.5224811
453.0,453.0,0.17276339
454.0,454.0,0.07723077
455.0,455.0,0.50452006
