X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,4.678489784053121E-4,25.982337134106437,0.4114005742692204
3.0,3.0,train,2.7081454442644834E-4,13.687492883390018,0.2641994119130292
4.0,4.0,train,0.0020883831213394663,74.59727319016645,0.9061309678050924
5.0,5.0,train,0.00163012888580758,65.55940042824852,0.8422454391119721
6.0,6.0,train,0.0010875226223549782,52.29227003018726,0.708295969661096
7.0,7.0,train,0.0018987926370477803,70.36603369999756,0.8836409309555197
8.0,8.0,train,0.0016974946674912805,67.54883435827257,0.8538367537476123
9.0,9.0,train,3.311600014576872E-4,18.4270596268599,0.312820233906674
10.0,10.0,train,0.0010875226223549782,52.29227003018726,0.708295969661096
11.0,11.0,train,4.171853258313526E-5,0.8615136045760374,0.04616200394254466
12.0,12.0,train,9.725858089263111E-5,3.8055036685930097,0.10432779622850763
13.0,13.0,train,0.004022202976061848,97.07269248838246,0.9895024173718565
14.0,14.0,train,3.290837607781422E-4,18.275709575830813,0.3112020167060865
15.0,15.0,train,9.314835023129976E-4,48.00202374123929,0.6518926718407676
16.0,16.0,train,1.1710038214102426E-4,4.7998231278658645,0.12423618834643801
17.0,17.0,train,3.237951768369424E-4,17.65986453978939,0.3070628701543525
18.0,18.0,train,0.0011390588673699453,54.11158742765759,0.7248390718189361
20.0,20.0,train,0.0011762797972073825,55.095809610008594,0.7362003651206508
21.0,21.0,train,3.575325766731298E-4,20.068381585685614,0.33304713481150516
22.0,22.0,train,0.003820527251063626,95.87502474949038,0.9868079254080467
23.0,23.0,train,8.333653234536687E-4,43.349993730704504,0.6109665104510829
25.0,25.0,train,0.004176763445122508,97.4903704288264,0.9911885768692164
26.0,26.0,train,5.163078793970493E-4,28.606953711020395,0.4428422018994199
27.0,27.0,train,2.746447629323521E-4,13.836215514035791,0.26738522062927694
28.0,28.0,train,1.7047993803401114E-4,7.897133980122091,0.1756257296049909
30.0,30.0,train,0.0013536432475492169,59.93250931677459,0.784219620231787
31.0,31.0,train,0.0020989264710204207,74.80703352981813,0.9072454876034227
32.0,32.0,train,0.0011046928651167972,53.036298195974474,0.7139152378785452
34.0,34.0,train,0.003073523639832065,90.75294901533985,0.9692506153054454
36.0,36.0,train,3.2416391162408815E-4,17.686578860162932,0.30735226789862014
38.0,38.0,train,3.6616975814406316E-4,20.511624348012067,0.3395412814236891
39.0,39.0,train,0.0011762797972073825,55.095809610008594,0.7362003651206508
41.0,41.0,train,3.593536390028819E-4,20.157122626828663,0.3344216513002558
42.0,42.0,train,0.001185040422056767,55.37012613811027,0.7388055218637364
43.0,43.0,train,4.04213719206663E-4,22.269819012336278,0.3674014774571819
44.0,44.0,train,0.0026497240348050803,85.91266475176009,0.9503013664304125
45.0,45.0,train,0.0023250211663767475,79.72261923323084,0.9282045045794001
46.0,46.0,train,0.0019277251483625895,70.77529746954522,0.8873929614655586
47.0,47.0,train,0.0010343501467879998,51.45677487541651,0.6901845200356611
48.0,48.0,train,0.0037653409734300035,95.49299779156833,0.9859568489814623
49.0,49.0,train,0.0019300508396239442,71.29042513645842,0.8876892559107179
51.0,51.0,train,3.1743455325738225E-4,17.013775699104126,0.30205172396679425
52.0,52.0,train,3.407481925031408E-4,18.982327829079896,0.3202440704286046
53.0,53.0,train,0.0024653936459047045,83.07803061141773,0.9387601108051687
54.0,54.0,train,0.002893878613253073,88.69154090043945,0.9623104289371656
56.0,56.0,train,0.0034162689819260145,93.33860888175886,0.9791451609041051
57.0,57.0,train,9.486676123093622E-5,3.6611614629928604,0.10189758542699456
58.0,58.0,train,0.00454214805001287,98.82255213947188,0.9941752401121974
59.0,59.0,train,0.0017604304383671166,69.10552254779016,0.8638950291821381
60.0,60.0,train,0.0012526541995988023,57.04745697185335,0.7580652600626573
61.0,61.0,train,0.0024193007821840676,82.09876312920488,0.9354773888688059
62.0,62.0,train,0.0026815748737872144,86.71208676227333,0.952062659118359
63.0,63.0,train,6.826041146557387E-4,37.114913103842,0.5385113652444065
64.0,64.0,train,7.120515910745796E-4,38.05290412738605,0.553652663067089
65.0,65.0,train,0.0019300508396239442,71.29042513645842,0.8876892559107179
66.0,66.0,train,5.946280234269082E-4,32.198356264872224,0.49014702368627217
67.0,67.0,train,7.743383590422473E-4,40.4596720834077,0.5840625145080596
68.0,68.0,train,0.002061971227769083,73.76523801399881,0.9032798624630898
69.0,69.0,train,0.0020211416246944044,73.15088673918163,0.8987010516973546
70.0,70.0,train,0.0015183245222900208,63.60264436584094,0.820943824118149
71.0,71.0,train,0.0012701348989755225,57.30128637158953,0.762809228745555
72.0,72.0,train,2.1303635064207486E-4,10.484222041633934,0.2144265217293857
75.0,75.0,train,0.0013507450351008198,59.64189832320925,0.7835099881794899
76.0,76.0,train,0.0023195268914091806,79.41344023907433,0.9277562365428956
77.0,77.0,train,0.0034564674678855935,93.68424299543015,0.9800735781658286
78.0,78.0,train,2.724562868655828E-4,13.740282174525921,0.2655666345935409
79.0,79.0,train,2.137944663429314E-4,10.538692989656823,0.21510091577033041
80.0,80.0,train,8.612125432149763E-4,45.009659359036725,0.623047829997962
81.0,81.0,train,0.0011755268120336442,55.06972896934144,0.7359752401011255
82.0,82.0,train,0.001400757660805899,61.31899770965352,0.7954347711805051
83.0,83.0,train,0.002284589070380296,78.3367810497363,0.924839500864274
84.0,84.0,train,8.457912880012782E-4,44.15496020517958,0.6164045432149938
85.0,85.0,train,8.135464795212139E-4,42.32239695861439,0.6021331137732647
86.0,86.0,train,5.353193576380503E-4,29.729757215329677,0.45471364741216613
