Species,AUC-ROC,Precision,Recall,F1 Score,TN,FP,FN,TP
Bufo bufo,0.8673057079514921,0.4187192118226601,0.7203389830508474,0.5295950155763239,1423,236,66,170
Rana temporaria,0.8693652758678633,0.36271186440677966,0.656441717791411,0.4672489082969432,3202,376,112,214
Lissotriton helveticus,0.8369015388999715,0.33624454148471616,0.6363636363636364,0.44,776,152,44,77
