True_Label,Predicted_Probability
0,0.251719623804092
0,0.283394545316696
0,0.211396276950836
0,0.270621091127396
1,0.0079759778454899
0,0.457016557455063
0,0.0092575810849666
0,0.0535582154989243
0,0.513342380523682
1,0.114169359207153
0,0.0727281644940376
0,0.0342955440282822
0,0.122168600559235
0,0.0120828216895461
0,0.481292307376862
0,0.724762082099915
0,0.0045646354556083
0,0.136579483747482
0,0.0638337656855583
0,0.0298788081854582
1,0.968946933746338
0,0.389834761619568
1,0.288730502128601
0,0.0110014025121927
0,0.368557751178741
0,0.200514733791351
0,0.69599324464798
0,0.135620683431625
0,0.0759951025247574
0,0.77783203125
0,0.332495957612991
0,0.595487236976624
0,0.279768317937851
0,0.0910385325551033
0,0.202604189515114
0,0.164881244301796
1,0.430432975292206
1,0.430432975292206
0,0.0337341874837875
0,0.0429861471056938
0,0.0267538409680128
0,0.0794580578804016
0,0.246260538697243
0,0.0327327512204647
0,0.767944931983948
1,0.874895811080933
0,0.0499929711222649
0,0.417009919881821
0,0.383146703243256
1,0.714684844017029
1,0.960051655769348
1,0.0279718860983849
0,0.795236885547638
0,0.190823957324028
0,0.640783488750458
1,0.773830831050873
0,0.672737240791321
0,0.764127254486084
0,0.0776373893022537
0,0.0461161434650421
0,0.343435257673264
0,0.089961014688015
0,0.0527802929282188
1,0.883526921272278
0,0.186509102582932
0,0.316052556037903
1,0.550835907459259
0,0.595233857631683
0,0.0624918751418591
0,0.100616991519928
0,0.0936436578631401
0,0.0079751368612051
0,0.500864386558533
0,0.0245439782738686
0,0.0113639459013939
0,0.852215707302094
0,0.133194595575333
0,0.274905562400818
0,0.0404286533594131
0,0.473878413438797
0,0.0676672831177711
0,0.0245084874331951
0,0.23342190682888
0,0.0503603592514992
0,0.271187216043472
0,0.268460512161255
0,0.846045732498169
0,0.0259139835834503
1,0.607403218746185
1,0.613154888153076
0,0.0011189243523404
0,0.0025645389687269
0,0.0403633080422878
0,0.728717982769012
0,0.626769959926605
0,0.258257985115051
1,0.66993635892868
0,0.133394882082939
0,0.0653087273240089
0,0.0980277732014656
1,0.301124304533005
0,0.198599979281425
0,0.0409947820007801
0,0.145757377147675
0,0.794008016586304
1,0.679389119148254
0,0.458220541477203
0,0.0773425996303558
0,0.069607250392437
1,0.865201413631439
1,0.718796014785767
0,0.0314475148916245
0,0.0113452319055796
0,0.0088174007833004
0,0.0574610829353333
